media_asset_id	dam_id	
WEB-0001_aaron_rod	wts86bk4nqfwhm43qwkgttv
WEB-0004_acorn	qfnc9vxj9zknpwbvf6sg49m
WEB-0010_adze	kcm69ccw7n3qs7bgzqxp39t
WEB-0011_africanelephant	h39m5xjmwx74nsk9nm63p79
WEB-0014_agama_lizards	ggrf7bhhcx3rtqb6vv3nhw
WEB-0018_agarwoodlog	wzr84h9mgmkn6p3r9k736qn
WEB-0026_amalek	n989v5jg8ssvk28m49nx9j8
WEB-0032_ants	mxbrcw9g54v5f28nq3x3pn
WEB-0033_anvil	skvf8tm7g3wt2f75g3h58gv
WEB-0034_anvil_blacksmith	998vbshxcs7bzf7rcpmk9mv
WEB-0035_apples	8km5jfk5gg2h6nts362mg6cz
WEB-0037_archangel	649vm3x4n4x99fv4mm3wtxr7
WEB-0041_ash	2jx4bqnchv4kchqj45ccmjh
WEB-0044_acropolis_hill	hg3c2r3csbtpbkw5hmpm9xn
WEB-0045_athens_night	wz4vt2zsprq4jfmxc248gkt
WEB-0049_baby_boy	cnm4qmm8cg6j6f88srh9qpn
WEB-0053_balsam	3xm9nctckq6mkg8gznknp
WEB-0055_barleyhead	2g6v9kw46f45w8vvxzptn5mv
WEB-0056_barley_grain	kgwkvzpv7g6wnm4tjzcffm
WEB-0065_beardedvulture	r5mvs4wsqj42v2nt7mq3t4
WEB-0066_bears	mh3qkzr9qq9mvwnxp73vjw
WEB-0067_bees	3vrmrvt8ngrtj39vrgfz76x9
WEB-0074_black_pigs	qfssgmp7vz2q9fjx39q8m4fz
WEB-0075_black_stork	397g9hph5nff8p5cmw9pwh5h
WEB-0078_blood	n69pqntcb97t4vkq83t4zpn
WEB-0080_boars	t3ccgmmc4jkp929f9qqks
WEB-0083_bottlegourd	5hkp99pmm9vjjbpjzcrmsp
WEB-0087_brassica_nigra	3gnm2f5vzgv6kkk79v7nb3
WEB-0090_bronze_serpent	mfsmc8xjfn2s5fr8nt9rznc
WEB-0093_brown-necked_raven	q7x9gknv4bqbxhhctcgnf3j
WEB-0096_buzzard	q457hbc435bgn3ptpr3jbk33
WEB-0098_caesarea_philippi	2ffh8t2gpp6gpx2gcxmrtwfw
